Wavelength(nm),I[w/(m^2*lambda)]
1.0,1.99e-06
2.0,1.33e-06
3.0,2.476e-05
4.0,1.619e-05
5.0,3.012e-05
6.0,6.913e-05
7.0,5.941e-05
8.0,6.792e-05
9.0,4.127e-05
10.0,5.189e-05
11.0,1.891e-05
12.0,1.379e-05
13.0,8.73e-06
14.0,8.38e-06
15.0,2.267e-05
16.0,2.062e-05
17.0,4.2e-05
18.0,0.0001768
19.0,7.212e-05
20.0,6.177e-05
21.0,2.562e-05
22.0,1.782e-05
23.0,3.904e-05
24.0,2.086e-05
25.0,4.867e-05
26.0,7.546e-05
27.0,1.802e-05
28.0,3.818e-05
29.0,2.714e-05
30.0,1.666e-05
31.0,0.0004867
32.0,6.991e-05
33.0,3.85e-05
34.0,3.807e-05
35.0,4.067e-05
36.0,3.148e-05
37.0,4.249e-05
38.0,1.275e-05
39.0,5.47e-06
40.0,4.8e-06
41.0,8.06e-06
42.0,4.83e-06
43.0,4.42e-06
44.0,8.47e-06
45.0,4.05e-06
46.0,3.66e-06
47.0,1.266e-05
48.0,5.25e-06
49.0,8.91e-06
50.0,1.705e-05
51.0,1.341e-05
52.0,4.45e-06
53.0,4.68e-06
54.0,5.77e-06
55.0,4.07e-06
56.0,1.793e-05
57.0,5.23e-06
58.0,4.95e-06
59.0,2.719e-05
60.0,6.46e-06
61.0,1.782e-05
62.0,8.18e-06
63.0,3.361e-05
64.0,8.04e-06
65.0,2.05e-06
66.0,1.49e-06
67.0,1.44e-06
68.0,1.43e-06
69.0,4.86e-06
70.0,3.42e-06
71.0,9.79e-06
72.0,4.15e-06
73.0,2.82e-06
74.0,3.67e-06
75.0,4.52e-06
76.0,7.29e-06
77.0,1.903e-05
78.0,1.393e-05
79.0,2.328e-05
80.0,1.151e-05
81.0,1.079e-05
82.0,1.226e-05
83.0,1.812e-05
84.0,3.361e-05
85.0,2.25e-05
86.0,2.506e-05
87.0,2.656e-05
88.0,3.162e-05
89.0,3.614e-05
90.0,4.395e-05
91.0,5.207e-05
92.0,4.032e-05
93.0,1.422e-05
94.0,1.272e-05
95.0,9.02e-06
96.0,5.71e-06
97.0,5.94e-06
98.0,0.000102
99.0,1.202e-05
100.0,1.855e-05
101.0,7.55e-06
102.0,8.73e-06
103.0,7.169e-05
104.0,7.455e-05
105.0,1.205e-05
106.0,1.02e-05
107.0,9.74e-06
108.0,1.036e-05
109.0,1.729e-05
110.0,1.163e-05
111.0,1.241e-05
112.0,1.279e-05
113.0,1.213e-05
114.0,1.088e-05
115.0,7.36e-06
116.0,1.21e-05
117.0,1.368e-05
118.0,5.026e-05
119.0,1.54e-05
120.0,5.276349999999999e-05
121.0,0.0017531275
122.0,0.004492846
123.0,3.00115e-05
124.0,3.9408e-05
125.0,2.1337e-05
126.0,3.5660999999999996e-05
127.0,2.4347e-05
128.0,2.0066500000000002e-05
129.0,1.7927e-05
130.0,9.97575e-05
131.0,8.908700000000001e-05
132.0,2.2273999999999997e-05
133.0,9.3891e-05
134.0,0.00011197600000000003
135.0,2.8745499999999998e-05
136.0,3.82765e-05
137.0,2.8912000000000004e-05
138.0,2.90855e-05
139.0,6.92535e-05
140.0,7.7846e-05
141.0,4.7549e-05
142.0,4.5698499999999996e-05
143.0,5.337199999999999e-05
144.0,5.3733000000000016e-05
145.0,5.623900000000001e-05
146.0,6.324950000000001e-05
147.0,9.1622e-05
148.0,8.648700000000001e-05
149.0,8.26705e-05
150.0,8.512950000000001e-05
151.0,9.35245e-05
152.0,9.89705e-05
153.0,0.00013918
154.0,0.00012992
155.0,0.00028367
156.0,0.000206945
157.0,0.00017987499999999997
158.0,0.00016724
159.0,0.00018142999999999998
160.0,0.00018027999999999997
161.0,0.00022043000000000003
162.0,0.00023925999999999998
163.0,0.000278975
164.0,0.0003261150000000001
165.0,0.000307925
166.0,0.000491191
167.0,0.00035600199999999996
168.0,0.00036992549999999996
169.0,0.000484553
170.0,0.0006103450000000001
171.0,0.0006203945
172.0,0.00067993
173.0,0.0006851115
174.0,0.0008048705
175.0,0.0009360704999999998
176.0,0.0011168254999999998
177.0,0.001315708
178.0,0.0014208775000000002
179.0,0.0015736835000000002
180.0,0.0016964694999999999
181.0,0.002008517
182.0,0.0025487044999999995
183.0,0.0022409595
184.0,0.0022544285
185.0,0.0020109050000000003
186.0,0.0025223885
187.0,0.0029593345
188.0,0.0030139205000000004
189.0,0.003475288
190.0,0.0034599224999999996
191.0,0.003933757499999999
192.0,0.0043653435
193.0,0.0036718279999999994
194.0,0.0044518119999999994
195.0,0.0054319500000000005
196.0,0.0055473004999999995
197.0,0.006424135
198.0,0.006189919
199.0,0.006226373500000001
200.0,0.006827432499999999
201.0,0.0075780545000000005
202.0,0.008032593
203.0,0.008330614500000002
204.0,0.009532052999999999
205.0,0.010371592499999999
206.0,0.010229314
207.0,0.011376325000000001
208.0,0.012862265499999997
209.0,0.016875728
210.0,0.0238694905
211.0,0.029715953
212.0,0.033828657
213.0,0.028604126
214.0,0.03585442900000001
215.0,0.038016719
216.0,0.032716801
217.0,0.029897001
218.0,0.039226907
219.0,0.042680289999999996
220.0,0.0470491445
221.0,0.039494826
222.0,0.04044449750000001
223.0,0.05247657600000001
224.0,0.06003586799999999
225.0,0.054071399
226.0,0.044242907
227.0,0.030478396500000005
228.0,0.042999834
229.0,0.0466880545
230.0,0.0422273255
231.0,0.047593376
232.0,0.048356368999999996
233.0,0.044598316500000006
234.0,0.036195502000000004
235.0,0.038247374
236.0,0.0459639255
237.0,0.04426690849999999
238.0,0.038164043499999994
239.0,0.0412754095
240.0,0.0376832885
241.0,0.033932857
242.0,0.058070619000000004
243.0,0.06611341099999998
244.0,0.06056616100000001
245.0,0.0504743285
246.0,0.0439365335
247.0,0.0498372515
248.0,0.04960853900000001
249.0,0.0387664355
250.0,0.0594775645
251.0,0.051464617000000004
252.0,0.03658631250000001
253.0,0.0393218315
254.0,0.049308226
255.0,0.0583383655
256.0,0.0780417105
257.0,0.10943430900000002
258.0,0.12124735900000001
259.0,0.11406890499999997
260.0,0.0846979145
261.0,0.073998311
262.0,0.09453074000000002
263.0,0.08920113249999999
264.0,0.21643094699999996
265.0,0.22387529599999995
266.0,0.24782734749999996
267.0,0.22742630949999998
268.0,0.23940128700000002
269.0,0.22771871699999996
270.0,0.242216874
