z_km,T_K,p_Pa,rho_air_kg_m3,n_air_molec_m3,O3_vmr_ppmv,n_O3_molec_m3,u_O3_molec_m2,delta_tau_SW_vert,delta_tau_SW_sun(mu0=0.6),delta_tau_LW
0,288.15,101325.0,1.2249781434738447,2.5469164932769213e+25,0.3914954689872593,9.97106267006834e+18,9.97106267006834e+21,9.971062670068338,16.61843778344723,0.02991318801020502
1,281.65,89874.75537044705,1.1116250302542408,2.3112380730852065e+25,0.4890781026730698,1.1303759316102744e+19,1.1303759316102744e+22,11.303759316102743,18.83959886017124,0.03391127794830823
2,275.15,79495.5463656812,1.0064764854894492,2.0926182027371015e+25,0.6080428299170961,1.2724014939282948e+19,1.2724014939282948e+22,12.724014939282947,21.20669156547158,0.038172044817848846
3,268.65,70108.98756487625,0.9091116058913411,1.8901817600662876e+25,0.7513729396750904,1.420231425581243e+19,1.420231425581243e+22,14.202314255812428,23.67052375968738,0.04260694276743729
4,262.15,61640.76081075912,0.8191217914383948,1.7030792032752138e+25,0.9220042024358818,1.5702461825009002e+19,1.5702461825009003e+22,15.702461825009001,26.170769708348335,0.04710738547502701
5,255.64999999999998,54020.494922519356,0.736110670359302,1.5304864149645685e+25,1.1226822658929014,1.7182499562707253e+19,1.7182499562707254e+22,17.182499562707253,28.637499271178758,0.05154749868812176
6,249.14999999999998,47181.646151017114,0.6596940227529172,1.371604543327495e+25,1.3557956526172392,1.8596154769534714e+19,1.8596154769534714e+22,18.596154769534714,30.99359128255786,0.05578846430860414
7,242.64999999999998,41061.37938995202,0.5894997027849845,1.2256598403847176e+25,1.6231895926689173,1.98947829706472e+19,1.98947829706472e+22,19.8947829706472,33.15797161774533,0.0596843489119416
8,236.14999999999998,35600.45015725842,0.5251675593978716,1.0919034971279758e+25,1.9259686124469086,2.1029718632894943e+19,2.1029718632894944e+22,21.02971863289494,35.049531054824904,0.06308915589868483
9,229.64999999999998,30743.08736164151,0.46634935546493067,9.696114754296057e+24,2.2642984036255527,2.195489715952273e+19,2.195489715952273e+22,21.95489715952273,36.59149526587122,0.06586469147856819
10,223.14999999999998,26436.87686986257,0.4127086853160166,8.580843365655046e+24,2.637219738866798,2.2629569500029694e+19,2.2629569500029695e+22,22.629569500029692,37.71594916671616,0.06788870850008909
11,216.65,22632.64589113027,0.3639208905550834,7.566470661870693e+24,3.042488790811197,2.3020902174743364e+19,2.3020902174743364e+22,23.020902174743362,38.36817029123894,0.06906270652423009
12,216.65,19330.954360539832,0.31083144940310853,6.462660165257481e+24,3.476458865685913,2.2467172227424555e+19,2.2467172227424553e+22,22.467172227424552,37.44528704570759,0.06740151668227366
13,216.65,16510.919593175866,0.2654867924473088,5.51987555070753e+24,3.9340180476797735,2.171529003742975e+19,2.171529003742975e+22,21.71529003742975,36.192150062382915,0.06514587011228926
